순위,책이름,저자및출판사,가격
1,트렌드 코리아 2026,"김난도, 전미영, 최지혜, 권정...",18000
2,처음 만나는 양자의 세계,채은미 | 북플레저,17100
3,대형주 추세추종 투자법칙,이종호(전황) | 사피엔테스,19800
4,위버멘쉬,프리드리히 니체 | 떠오름,16020
5,박곰희 연금 부자 수업,박곰희 | 인플루엔셜,18900
6,주식 투자의 뿌리,박두환 | 애덤스미스,19800
7,절창 切創,구병모 | 문학동네,16200
8,다크 심리학,다크 사이드 프로젝트 | 어센딩,19710
9,단 한 줄만 내 마음에 새긴다고 해도,나민애 | 포레스트북스,21420
10,어른의 행복은 조용하다,태수 | 페이지2북스,16020
11,머니 트렌드 2026,"김도윤, 정태익, 김광석, 김승...",23400
12,어스탐 경의 임사전언,이영도 | 황금가지,18000
13,호의에 대하여,문형배 | 김영사,16920
14,렛뎀 이론,"멜 로빈스, 윤효원 | 비즈니스북스",18000
15,기분이 태도가 되지 않게,"레몬심리, 박영란 | 갤리온",16200
16,혼모노,성해나 | 창비,16200
17,미야옹 마음 분식점 1 : 좀비...,"주미, 안병현 | 지구별아이",13320
18,손자병법,"손자, 소준섭 | 현대지성",11700
19,결국 너의 시간은 온다,염경엽 | 웅진지식하우스,17100
20,스토너,"존 윌리엄스, 김승욱 | 알에이...",15120
21,모순,양귀자 | 쓰다,11700
22,ETF 투자의 모든 것,문일호 | 매일경제신문사,18900
23,사이언스 2026,"내셔널지오그래픽 키즈, 이한음,...",25200
24,그 비스크 돌은 사랑을 한다 1...,"후쿠다 신이치, 박연지 | 소미미디어",25200
